term,estimate,std.error,statistic,p.value,CI_lower,CI_upper
(Intercept),0.123,0.157,0.781,0.435,-0.185,0.435
Middle nestling,-0.352,0.218,-1.615,0.106,-0.785,0.072
Last nestling,-0.474,0.264,-1.793,0.073,-0.999,0.04
Clutch size,0.18,0.107,1.686,0.092,-0.034,0.395
sd (Intercept)|Location:Year,0.39,NA,NA,NA,0,0.739
sd (Intercept)|Year,0,NA,NA,NA,0,0.302
